iter	Passed	Remaining
0	56	56921
1	57	28578
2	57	19109
3	57	14401
4	58	11572
5	58	9683
6	58	8331
7	59	7318
8	59	6523
9	59	5892
10	59	5375
11	60	4941
12	60	4578
13	60	4266
14	60	3996
15	61	3759
16	61	3547
17	61	3365
18	61	3198
19	62	3049
20	62	2911
21	62	2788
22	62	2675
23	63	2578
24	63	2482
25	63	2393
26	64	2311
27	64	2237
28	64	2165
29	65	2102
30	65	2040
31	65	1982
32	65	1927
33	66	1880
34	66	1833
35	66	1788
36	67	1744
37	67	1704
38	67	1665
39	67	1628
40	68	1592
41	68	1558
42	68	1526
43	68	1496
44	69	1466
45	69	1439
46	69	1414
47	70	1388
48	70	1364
49	70	1340
50	70	1317
51	71	1295
52	71	1274
53	71	1254
54	71	1235
55	72	1217
56	72	1199
57	72	1182
58	73	1168
59	73	1153
60	73	1139
61	74	1125
62	74	1110
63	74	1095
64	75	1081
65	75	1066
66	75	1054
67	75	1041
68	76	1028
69	76	1016
70	76	1004
71	77	992
72	77	980
73	77	970
74	77	959
75	78	948
76	78	939
77	78	929
78	78	919
79	79	910
80	79	901
81	79	892
82	79	881
83	80	873
84	80	865
85	80	857
86	81	850
87	81	843
88	81	835
89	81	827
90	82	820
91	82	812
92	82	805
93	82	798
94	83	791
95	83	785
96	83	779
97	83	772
98	84	766
99	84	760
100	84	755
101	85	749
102	85	743
103	85	737
104	85	732
105	86	726
106	86	721
107	86	716
108	86	711
109	87	705
110	87	701
111	87	695
112	88	691
113	88	686
114	88	682
115	88	678
116	89	673
117	89	668
118	89	663
119	89	659
120	90	655
121	90	651
122	90	646
123	91	642
124	91	638
125	91	634
126	91	630
127	91	626
128	92	622
129	92	619
130	92	616
131	93	612
132	93	609
133	93	605
134	93	601
135	94	597
136	94	594
137	94	591
138	95	588
139	95	586
140	95	583
141	95	579
142	96	575
143	96	572
144	96	569
145	96	566
146	97	563
147	97	560
148	97	557
149	97	554
150	98	551
151	98	548
152	98	545
153	98	543
154	99	540
155	99	538
156	99	535
157	100	533
158	100	530
159	100	528
160	100	524
161	100	522
162	101	519
163	101	516
164	101	514
165	101	511
166	102	509
167	102	507
168	102	504
169	102	502
170	103	500
171	103	498
172	103	496
173	104	493
174	104	491
175	104	489
176	104	487
177	105	485
178	105	483
179	105	481
180	105	479
181	106	477
182	106	475
183	106	473
184	106	470
185	107	469
186	107	467
187	107	465
188	107	463
189	108	461
190	108	459
191	108	457
192	109	456
193	109	454
194	109	452
195	109	451
196	110	449
197	110	448
198	110	446
199	111	444
200	111	443
201	111	441
202	111	439
203	112	437
204	112	435
205	112	435
206	113	433
207	113	431
208	113	430
209	114	428
210	114	427
211	114	425
212	114	423
213	115	422
214	115	420
215	115	419
216	115	417
217	115	415
218	116	414
219	116	413
220	116	411
221	117	410
222	117	408
223	117	407
224	118	406
225	118	405
226	118	404
227	119	403
228	119	401
229	119	400
230	119	398
231	120	397
232	120	396
233	120	394
234	120	393
235	121	392
236	121	390
237	121	389
238	121	388
239	122	387
240	122	386
241	122	385
242	123	383
243	123	382
244	123	381
245	124	380
246	124	379
247	124	377
248	124	376
249	125	375
250	125	374
251	125	373
252	126	372
253	126	371
254	126	370
255	127	369
256	127	367
257	127	366
258	127	365
259	128	364
260	128	363
261	128	362
262	128	361
263	129	360
264	129	359
265	129	357
266	129	356
267	130	355
268	130	354
269	130	353
270	131	352
271	131	352
272	131	351
273	132	350
274	132	349
275	132	348
276	133	347
277	133	346
278	133	345
279	133	344
280	134	343
281	134	342
282	134	341
283	134	340
284	135	339
285	135	338
286	135	337
287	136	336
288	136	335
289	136	334
290	136	333
291	137	332
292	137	331
293	137	330
294	137	329
295	138	328
296	138	327
297	138	326
298	139	326
299	139	324
300	139	323
301	139	322
302	139	321
303	140	321
304	140	320
305	140	319
306	141	318
307	141	317
308	141	316
309	141	316
310	143	316
311	143	315
312	143	315
313	143	314
314	143	313
315	144	312
316	144	311
317	144	310
318	144	309
319	145	308
320	145	307
321	145	306
322	145	305
323	146	305
324	146	304
325	146	303
326	147	302
327	147	301
328	147	300
329	147	300
330	148	299
331	148	298
332	148	297
333	148	297
334	149	296
335	149	295
336	149	294
337	150	294
338	150	293
339	150	292
340	150	291
341	151	291
342	151	290
343	151	289
344	152	288
345	152	287
346	152	287
347	152	286
348	153	285
349	153	284
350	153	284
351	153	283
352	154	282
353	154	281
354	154	281
355	154	280
356	155	279
357	155	278
358	155	278
359	155	277
360	156	276
361	156	275
362	156	275
363	156	274
364	157	273
365	157	272
366	157	272
367	158	271
368	158	270
369	158	270
370	158	269
371	159	268
372	159	268
373	159	267
374	160	266
375	160	266
376	160	265
377	160	264
378	161	264
379	161	263
380	161	262
381	161	262
382	162	261
383	162	260
384	162	260
385	163	259
386	164	259
387	164	259
388	164	258
389	164	257
390	165	257
391	165	256
392	165	256
393	166	255
394	166	254
395	166	254
396	166	253
397	167	252
398	167	252
399	167	251
400	167	250
401	168	250
402	168	249
403	168	248
404	168	248
405	169	247
406	169	246
407	169	246
408	170	245
409	170	245
410	170	244
411	170	243
412	171	243
413	171	242
414	171	241
415	171	241
416	172	240
417	172	239
418	172	239
419	172	238
420	173	238
421	173	237
422	173	237
423	174	236
424	174	236
425	174	235
426	175	234
427	175	234
428	175	233
429	175	233
430	176	232
431	177	232
432	177	232
433	177	231
434	177	231
435	178	230
436	178	229
437	178	229
438	179	228
439	179	228
440	179	227
441	180	227
442	180	227
443	180	226
444	181	225
445	181	225
446	181	224
447	182	224
448	182	223
449	182	223
450	182	222
451	183	222
452	183	221
453	183	221
454	184	220
455	184	220
456	184	219
457	185	218
458	185	218
459	185	217
460	185	217
461	186	217
462	186	216
463	186	215
464	187	215
465	187	214
466	187	214
467	188	213
468	188	213
469	188	212
470	188	212
471	189	211
472	189	211
473	189	210
474	190	210
475	190	209
476	190	209
477	190	208
478	191	207
479	191	207
480	191	206
481	192	206
482	192	205
483	192	205
484	192	204
485	193	204
486	193	203
487	193	203
488	193	202
489	194	202
490	194	201
491	194	200
492	194	200
493	195	200
494	196	200
495	196	199
496	196	199
497	197	198
498	197	198
499	197	197
500	197	197
501	198	196
502	198	196
503	198	195
504	199	195
505	199	194
506	199	194
507	199	193
508	200	193
509	200	192
510	200	191
511	200	191
512	201	191
513	201	190
514	201	189
515	201	189
516	202	188
517	202	188
518	202	187
519	203	187
520	203	186
521	203	186
522	203	185
523	204	185
524	204	184
525	204	184
526	205	184
527	205	183
528	205	183
529	205	182
530	206	182
531	206	181
532	206	181
533	207	180
534	207	180
535	208	180
536	208	179
537	208	179
538	209	178
539	209	178
540	209	177
541	210	177
542	210	176
543	210	176
544	210	175
545	210	175
546	211	174
547	211	174
548	211	173
549	212	173
550	212	173
551	212	172
552	212	172
553	213	171
554	213	171
555	213	170
556	214	170
557	214	169
558	214	169
559	214	168
560	215	168
561	216	168
562	216	167
563	216	167
564	216	167
565	217	166
566	217	166
567	217	165
568	218	165
569	218	164
570	218	164
571	218	163
572	219	163
573	219	162
574	219	162
575	219	161
576	220	161
577	220	160
578	220	160
579	220	160
580	221	159
581	221	159
582	221	158
583	222	158
584	222	157
585	222	157
586	223	156
587	223	156
588	223	156
589	223	155
590	223	155
591	224	154
592	224	154
593	224	153
594	224	153
595	225	152
596	225	152
597	225	151
598	225	151
599	226	150
600	226	150
601	226	149
602	227	149
603	227	149
604	227	148
605	228	148
606	228	147
607	228	147
608	229	147
609	229	146
610	229	146
611	229	145
612	230	145
613	230	144
614	230	144
615	231	144
616	231	143
617	231	143
618	231	142
619	232	142
620	232	141
621	232	141
622	232	140
623	233	140
624	233	139
625	233	139
626	233	139
627	234	138
628	234	138
629	234	137
630	234	137
631	235	136
632	235	136
633	235	136
634	236	135
635	236	135
636	236	134
637	236	134
638	237	134
639	237	133
640	237	133
641	238	132
642	238	132
643	238	131
644	238	131
645	239	131
646	239	130
647	239	130
648	239	129
649	240	129
650	240	128
651	240	128
652	240	128
653	241	127
654	241	127
655	241	126
656	242	126
657	242	126
658	242	125
659	242	125
660	243	124
661	243	124
662	243	123
663	244	123
664	244	123
665	244	122
666	244	122
667	245	121
668	245	121
669	245	121
670	245	120
671	246	120
672	246	119
673	246	119
674	247	118
675	247	118
676	247	118
677	247	117
678	248	117
679	248	116
680	248	116
681	249	116
682	249	115
683	249	115
684	249	114
685	250	114
686	250	114
687	250	113
688	250	113
689	251	112
690	251	112
691	251	112
692	252	111
693	252	111
694	252	110
695	252	110
696	253	110
697	253	109
698	253	109
699	253	108
700	254	108
701	254	108
702	254	107
703	254	107
704	255	106
705	255	106
706	255	105
707	255	105
708	256	105
709	256	104
710	256	104
711	256	103
712	257	103
713	257	103
714	257	102
715	258	102
716	258	101
717	258	101
718	258	101
719	259	101
720	260	100
721	260	100
722	260	99
723	260	99
724	261	99
725	261	98
726	261	98
727	261	97
728	262	97
729	262	97
730	262	96
731	262	96
732	263	95
733	263	95
734	263	95
735	263	94
736	264	94
737	264	93
738	264	93
739	265	93
740	265	92
741	265	92
742	265	91
743	266	91
744	266	91
745	266	90
746	266	90
747	267	90
748	267	89
749	267	89
750	267	88
751	268	88
752	268	88
753	268	87
754	269	87
755	269	86
756	269	86
757	269	86
758	270	85
759	271	85
760	271	85
761	271	84
762	271	84
763	271	84
764	272	83
765	272	83
766	272	82
767	273	82
768	273	82
769	273	81
770	273	81
771	274	80
772	274	80
773	274	80
774	274	79
775	275	79
776	275	79
777	275	78
778	275	78
779	276	77
780	276	77
781	276	77
782	276	76
783	277	76
784	277	75
785	277	75
786	277	75
787	278	74
788	278	74
789	278	74
790	279	73
791	279	73
792	279	72
793	279	72
794	280	72
795	280	71
796	280	71
797	280	71
798	281	70
799	281	70
800	281	70
801	282	69
802	282	69
803	282	68
804	283	68
805	283	68
806	283	67
807	284	67
808	284	67
809	284	66
810	285	66
811	285	66
812	285	65
813	285	65
814	286	64
815	286	64
816	286	64
817	286	63
818	287	63
819	287	63
820	287	62
